project,views,processed_views
aa,480,20.79737103174603
aa.b,79,2.7996031746031744
aa.d,50,2.691666666666667
aa.m,86,5.065909090909091
aa.m.b,37,2.480769230769231
aa.m.d,16,1.7142857142857142
ab,5031,5.837624475197742
ab.d,49,1.038961038961039
ab.m,9886,2.666879024580578
ab.m.d,74,1.0
ace,2485,4.453560835174912
ace.m,5866,6.643072090059735
advisory.m,50,4.366666666666666
advisory.m.m,49,3.5294117647058822
ady,807,9.945847057683991
ady.m,273,3.1784655768208396
ae.m,4,4.0
af,49854,18.74097107505803
af.b,194,2.344367784992785
af.d,2246,6.143806628358438
af.m,77354,35.34614097304689
af.m.b,99,1.3791666666666667
af.m.d,8739,17.890309308148016
af.m.q,100,1.9545454545454546
af.q,168,3.2273809523809525
ak,908,94.33401955479161
ak.b,33,1.3529411764705883
ak.d,16,1.2777777777777777
ak.m,39967,640308.0494291248
ak.m.b,10,1.375
ak.m.d,25,1.2142857142857142
als,8592,4.072020261124548
als.m,9081,2.334316397431938
alt,1368,10.114150171796695
alt.m,391,3.67274564419785
am,3921,6.25581457637777
am.d,293,13.8838186618687
am.m,10307,3.357850216169165
am.m.d,152,1.4505952380952383
am.m.m,42,1.3660130718954249
am.m.q,116,2.2265625
am.q,740,4.375732724824544
ami,552,8.961655581842939
ami.m,607,1.8269657114665907
an,9112,2.8311056346552017
an.d,483,10.245096597110889
an.m,8616,2.793505388138314
an.m.d,329,1.1550252287916762
ang,4230,4.850898168537689
ang.b,987,2.7571928542562603
ang.d,337,18.03411495911496
ang.m,10324,1.9558838001837158
ang.m.b,2227,1.3063669904789872
ang.m.d,137,1.3317460317460317
ang.m.q,96,1.2
ang.m.s,1218,1.1947925422761185
ang.q,107,2.4800724637681157
ang.s,711,1.085295148686125
anp,2048,5.4730350361519235
anp.m,4862,14.312743919232695
api.m,1033,3.301356094858928
api.m.m,46,2.01510989010989
ar,564064,17.97546575094069
ar.b,572,2.739816452256408
ar.d,1751,9.174377951769214
ar.m,4480548,410.86222543680975
ar.m.b,1249,5.440558213807399
ar.m.d,6777,1.7806079434463615
ar.m.m,53,4.766666666666667
ar.m.n,1300,6.967416945653518
ar.m.q,4597,12.346797639151639
