project,views_sum,processed_views_mean
,157221,71.75816843805853
aa,480,7.4625
aa.b,79,2.240506329113924
aa.d,50,1.84
aa.m,86,2.395348837209302
aa.m.b,37,1.8108108108108107
aa.m.d,16,1.5
ab,5031,3.5322997416020674
ab.d,49,1.0408163265306123
ab.m,9886,1.1357475217479263
ab.m.d,74,1
ace,2485,3.052313883299799
ace.m,5866,3.352199113535629
advisory.m,50,2.72
advisory.m.m,49,2.2653061224489797
ady,807,5.428748451053284
ady.m,273,1.783882783882784
ae.m,4,2
af,49854,12.440044931199102
af.b,194,1.8556701030927836
af.d,2246,3.691006233303651
af.m,77354,22.758124983840524
af.m.b,99,1.1616161616161615
af.m.d,8739,9.055383911202656
af.m.q,100,1.24
af.q,168,2.2857142857142856
ak,908,21.297356828193834
ak.b,33,1.3636363636363635
ak.d,16,1.25
ak.m,39967,1592.9377986839143
ak.m.b,10,1.2
ak.m.d,25,1.4
als,8592,3.1936685288640594
als.m,9081,1.9166391366589584
alt,1368,3.6008771929824563
alt.m,391,2.8567774936061383
am,3921,4.844427441979087
am.d,293,4.924914675767918
am.m,10307,2.4623071698845447
am.m.d,152,1.3157894736842106
am.m.m,42,1.380952380952381
am.m.q,116,1.5689655172413792
am.q,740,3.0108108108108107
ami,552,5.036231884057971
ami.m,607,1.5930807248764416
an,9112,2.2543898156277438
an.d,483,4.635610766045549
an.m,8616,2.1367223769730734
an.m.d,329,1.0911854103343466
ang,4230,3.1309692671394798
ang.b,987,1.2472137791286728
ang.d,337,5.344213649851632
ang.m,10324,1.204959318093762
ang.m.b,2227,1.0269420745397395
ang.m.d,137,1.102189781021898
ang.m.q,96,1.0625
ang.m.s,1218,1.0459770114942528
ang.q,107,1.4299065420560748
ang.s,711,1.0196905766526019
anp,2048,3.09765625
anp.m,4862,7.351707116412999
api.m,1033,2.093901258470474
api.m.m,46,1.565217391304348
ar,564064,12.712199324899302
ar.b,572,2.1013986013986012
ar.d,1751,5.135922330097087
ar.m,4480548,150.905334347495
ar.m.b,1249,3.1200960768614894
